Category,Topic,X3 20d xDrive M Sport Pro,X3 M50 xDrive
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 4 สูบเทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบเทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,995","2,998"
เครื่องยนต์และสมรรถนะ,กําลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"145 / 197 / 4,000","280 / 380 / 5,200 - 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"400 / 1,500 - 2,750","540 / 1,900 - 4,800"
เครื่องยนต์และสมรรถนะ,กําลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),8 / 11,13 / 18
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),25,200
เครื่องยนต์และสมรรถนะ,กําลังรวมสูงสุด (กิโลวัตต์/แรงม้า),145 / 197,293 / 398
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),400,580
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),215,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.7,4.6
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย -อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),18.2,12.3
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2เฉลี่ย (กรัม/กิโลเมตร),146,184
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 20 นิ้วลาย Double-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 21 นิ้ว ลาย Star-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9 J × 20 / ยาง 255/45 R20ล้อหลัง: 10.5 J × 20 / ยาง 285/40 R20,ล้อหน้า: 9J × 21 / tyres 255/40 R21ล้อหลัง: 10.5J × 21 / tyres 285/35 R21
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,755 / 1,920 / 1,660","4,755 / 1,920 / 1,660"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"570 - 1,700","570 - 1,700"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,965","2,055"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติแบบ Steptronicพร้อม Gearshift Paddles,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive Suspension,■,-
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M Suspension,-,■
ระบบขับเคลื่อนและเทคโนโลยี,พวงมาลัยไฟฟ้าแปรผันตามการหมุนและความเร็ว,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Professional(Driving Assistant Professional),-,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติรุ่น Plus(Parking Assistant Plus),■,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadowline),■,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีแดงเงา,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ Iconic Glow,■,■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่ง M ด้วยวัสดุสีดำเงา,■,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,ที่หนุนหลังปรับไฟฟ้าสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■,■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร(Ambient Light),■,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุอะลูมิเนียมแบบ Fine-Brushed,■,■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลัง,■,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 3 โซน,■,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■,■
ความปลอดภัย,ระบบ Teleservices,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนและจักรยานด้านหน้าพร้อมระบบช่วยเบรก,■,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■,■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,-,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,-,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้าและหลัง,-,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,-,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■,-
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport Pro,■,■
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Tanzanite Blue Metallic,Veganza perforated and quilted - Black,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Dune Grey Metallic,-,BMW Individual leather 'Merino' - Black/Atlas Grey
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,18 กุมภาพันธ์ 2568,18 กุมภาพันธ์ 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(ZAD, ZKN)","(ZKM, ZKQ)"
