Category,Topic,X1 sDrive20i M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบเทคโนโลยี TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998"
เครื่องยนต์และสมรรถนะ,กําลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"150 / 204 / 5,000 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"300 / 1,450 - 4,500"
เครื่องยนต์และสมรรถนะ,กําลังรวมสูงสุด (กิโลวัตต์/แรงม้า),150 / 204
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),300
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),236
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.6
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย -อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),15.9
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),148
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 นิ้วลาย Double-spoke Bicolour
ล้อและยาง,ขนาดยาง,8 J x 19 / ยาง 245/45 R 19
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,500 / 1,845 / 1,642"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"540 - 1,600"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,625"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 7 จังหวะ แบบ Steptronic พร้อมคลัตซ์คู่ และ Gearshift Paddles,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบ BMW Head-up Display,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■
อุปกรณ์ภายนอก,ราวหลังคาดีไซน์ M สีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,กระจกมองข้างพับอัตโนมัติ และตัดแสงอัตโนมัติฝั่งคนขับ,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายใน,กระจกมองข้างและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยอลูมิเนียมลาย Hexacube Pale M,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,หลังคาภายในดีไซน์ M สี Anthracite,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในห้องโดยสาร,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงแบบ Stereo,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
