Category,Topic,i5 eDrive40 M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,เทคโนโลยี BMW eDrive
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),250 / 340
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),400
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹, มาตรฐาน NEDC (กิโลเมตร)",563
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹, มาตรฐาน WLTP (กิโลเมตร)",513 - 627
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),ลิเธียม-ไอออน (Lithium-ion)
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),83.9
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),193
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),6
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",15.4
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",17.9
ล้อและยาง,ล้อ,ล้ออัลลอย M aerodynamic ขนาด 20 นิ้ว ตกแต่งสี Black Grey แบบสลับสี
ล้อและยาง,ขนาดยาง,"ล้อหน้า: 8.5 J × 20 /ยาง: 245/40 R 20
ล้อหลัง: 10 J × 20 /ยาง: 275/35 R 20"
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,060 / 1,900 / 1,515"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),490
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,195"
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),22
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),47 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),12 ชั่วโมง 45 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),8 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),4 ชั่วโมง 15 นาที
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),205
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,1 ชั่วโมง 13 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,41 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,30 นาที
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive Suspension Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติรุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สี dark blue metallic,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ Iconic Glow,■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้า,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Carbon Fibre ถักด้วยวัสดุสีเงินแบบ M,■
อุปกรณ์ภายใน,กระจกมองข้างพับด้วยไฟฟ้า พร้อมตัดแสงอัตโนมัติที่กระจกฝั่งคนขับ,■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ IconicSounds Electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,BMW Interaction Bar,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ไฟเบรกกระพริบฉุกเฉิน (Dynamic Braking Lights),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนและจักรยานด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้าและหลัง,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,■
ชุดตกแต่งพิเศษ,ชุดตกแต่งพิเศษ M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Phytonic Blue Metallic,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Cape York Green Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,26 มกราคม 2569
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(ZKK, ZLC)"
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,-
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 6 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 6 ปี ไม่จำกัดระยะทาง และการรับประกันแบตเตอรี่แรงดันไฟสูงและอุปกรณ์ร่วมนานสูงสุด 8 ปี หรือ 160,000 กม. (แล้วแต่อย่างใดถึงก่อน) ช่วงระยะเวลาการนำรถเข้ารับบริการครบกำหนดทุก 24 เดือน",-
หมายเหตุ,"บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูล ไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปค และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",-
