Category,Topic,iX1 eDrive20L M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,เทคโนโลยี BMW eDrive
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),150 / 204
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),250
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹ , มาตรฐาน NEDC (กิโลเมตร)",469
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹ , มาตรฐาน WLTP (กิโลเมตร)",458 - 539
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),Lithium-ion
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),66.5
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),175
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),8.6
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",15.0
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",15.8 - 13.4
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 นิ้ว แบบ Double-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,8 J × 19 / ยาง 245/45 R 19
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,616 / 1,845 / 1,617"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"490 - 1,600"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,024"
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),11
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),34 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),10 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),6 ชั่วโมง 45 นาที
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),130
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,1 ชั่วโมง 14 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,40 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,32 นาที
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติรุ่น Plus (Parking Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมการขับขี่ขณะเข้าโค้ง (Performance Control),■
อุปกรณ์ภายนอก,ระบบไฟหน้าแบบ LED,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง Satin Aluminium,■
อุปกรณ์ภายนอก,ราวหลังคาแบบ Aluminium Satinated,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายใน,กระจกมองข้างและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
